step,commits,shannon,liouville,eff_temp
1,50,3.912023e+00,-4.755140e+57,300.000000
2,100,3.912023e+00,-2.895433e+58,300.000000
3,150,3.912023e+00,-4.623878e+58,300.000000
4,200,3.912023e+00,-5.968195e+58,300.000000
5,250,3.912023e+00,-7.068075e+58,300.000000
6,300,3.912023e+00,-7.998733e+58,300.000000
7,350,3.912023e+00,-8.805298e+58,300.000000
8,400,3.912023e+00,-9.516970e+58,300.000000
9,450,3.912023e+00,-1.015373e+59,300.000000
10,500,3.912023e+00,-1.072984e+59,300.000000
11,550,3.912023e+00,-1.125585e+59,300.000000
12,600,3.912023e+00,-1.173978e+59,300.000000
13,650,3.912023e+00,-1.218788e+59,300.000000
14,700,3.912023e+00,-1.260508e+59,300.000000
15,750,3.912023e+00,-2.471140e+59,300.000000
16,800,3.912023e+00,-2.874497e+59,300.000000
17,850,3.912023e+00,-3.116489e+59,300.000000
18,900,3.912023e+00,-3.289334e+59,300.000000
19,950,3.912023e+00,-3.423765e+59,300.000000
20,1000,3.912023e+00,-3.533753e+59,300.000000
21,1050,3.912023e+00,-3.626819e+59,300.000000
22,1100,3.912023e+00,-3.707476e+59,300.000000
23,1150,3.912023e+00,-3.778643e+59,300.000000
24,1200,3.912023e+00,-3.842318e+59,300.000000
25,1250,3.912023e+00,-3.899929e+59,300.000000
26,1300,3.912023e+00,-3.952531e+59,300.000000
27,1350,3.912023e+00,-5.977189e+59,300.000000
28,1400,3.912023e+00,-6.021999e+59,300.000000
29,1450,3.912023e+00,-6.063719e+59,300.000000
30,1500,3.912023e+00,-7.274351e+59,300.000000
